                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7331,                  2.929,                 1.6619,                0.87827,                0.84346,                0.89456,                0.54016,                 1.2423,                 1.8498,                 1.1869,             0.00028339,             0.00028339,             0.00028339
                      2,                 1.2719,                 1.1933,                 1.2317,                0.84388,                0.93913,                0.91633,                 0.6066,                 1.1987,                 1.5576,                 1.1894,             0.00056901,             0.00056901,             0.00056901
                      3,                 1.2344,                 1.0056,                 1.1983,                0.88586,                 0.6474,                0.79831,                0.50283,                 1.2151,                 1.5772,                 1.1986,             0.00083978,             0.00083978,             0.00083978
                      4,                 1.2472,                0.98984,                 1.2603,                0.37554,                0.55203,                0.23299,                0.13159,                 1.6648,                 4.6742,                 1.4818,              0.0010957,              0.0010957,              0.0010957
                      5,                 1.2626,                0.94535,                 1.2576,                0.40192,                0.20588,                0.20005,                0.08942,                 2.0251,                 6.8317,                 1.9869,              0.0013368,              0.0013368,              0.0013368
                      6,                 1.2376,                0.92231,                 1.2283,                0.65197,                0.69877,                0.67751,                0.40086,                 1.4788,                 1.8627,                 1.4756,              0.0014607,              0.0014607,              0.0014607
                      7,                  1.213,                0.84539,                 1.2475,                0.91499,                0.61765,                0.83234,                0.54379,                  1.235,                 1.1565,                 1.2549,              0.0014195,              0.0014195,              0.0014195
                      8,                  1.154,                0.76899,                 1.2247,                0.83348,                0.72837,                 0.8092,                0.54514,                 1.3093,                 1.1758,                 1.2537,              0.0013782,              0.0013782,              0.0013782
                      9,                 1.2109,                0.75596,                 1.2235,                0.95507,                0.84853,                0.92527,                0.61424,                 1.1992,                0.89921,                 1.2231,              0.0013369,              0.0013369,              0.0013369
                     10,                 1.1765,                0.74269,                 1.2138,                 0.9817,                0.85085,                0.97578,                0.68703,                 1.1256,                0.72407,                 1.2235,              0.0012957,              0.0012957,              0.0012957
                     11,                 1.1408,                0.71308,                  1.211,                0.92094,                0.93076,                0.96826,                0.67125,                 1.2366,                 0.7461,                 1.2602,              0.0012544,              0.0012544,              0.0012544
                     12,                 1.1641,                0.70953,                  1.217,                0.92298,                0.88309,                 0.9583,                0.66831,                 1.0786,                0.69669,                 1.1805,              0.0012132,              0.0012132,              0.0012132
                     13,                 1.1045,                 0.6757,                 1.1805,                 0.9009,                0.88235,                0.86804,                0.60161,                  1.113,                 0.7706,                 1.1796,              0.0011719,              0.0011719,              0.0011719
                     14,                 1.1061,                0.67817,                 1.1797,                0.89933,                0.90791,                  0.941,                0.61692,                 1.2969,                0.80677,                 1.2455,              0.0011306,              0.0011306,              0.0011306
                     15,                 1.1131,                0.67458,                 1.1902,                0.93048,                0.94118,                0.96542,                0.64681,                 1.2399,                0.69001,                 1.2249,              0.0010894,              0.0010894,              0.0010894
                     16,                 1.0862,                0.66222,                 1.1666,                0.94588,                0.85294,                0.94493,                0.64934,                 1.1875,                0.64997,                 1.1837,              0.0010481,              0.0010481,              0.0010481
                     17,                 1.0449,                0.64673,                 1.1521,                0.95349,                0.85294,                 0.9304,                0.65755,                 1.1344,                0.71255,                 1.1828,              0.0010069,              0.0010069,              0.0010069
                     18,                 1.0116,                0.62007,                 1.1467,                0.87671,                0.81419,                0.87971,                0.61268,                 1.0817,                 1.0595,                 1.1416,             0.00096561,             0.00096561,             0.00096561
                     19,                 1.0293,                0.60202,                 1.1435,                0.91817,                0.90131,                 0.9317,                0.64839,                 1.0902,                0.63359,                 1.1441,             0.00092435,             0.00092435,             0.00092435
                     20,                 1.0428,                0.62548,                 1.1482,                0.98601,                0.88235,                0.96263,                0.65953,                 1.1479,                0.58052,                 1.1658,             0.00088309,             0.00088309,             0.00088309
                     21,                  1.001,                0.59929,                  1.118,                 0.9957,                0.93877,                0.96876,                0.63948,                  1.249,                 0.6427,                 1.1929,             0.00084184,             0.00084184,             0.00084184
                     22,                0.97861,                0.57827,                 1.1216,                 0.9649,                0.91012,                0.96377,                0.72555,                 1.0083,                0.70728,                 1.0826,             0.00080058,             0.00080058,             0.00080058
                     23,                0.96865,                0.55446,                 1.1142,                0.96381,                0.92076,                0.96508,                0.67338,                 1.1795,                0.61021,                 1.1767,             0.00075932,             0.00075932,             0.00075932
                     24,                0.95121,                0.55185,                 1.1211,                0.94804,                0.93437,                0.97794,                0.69324,                 1.1328,                0.64771,                 1.1556,             0.00071806,             0.00071806,             0.00071806
                     25,                0.96437,                0.55287,                 1.1194,                0.95318,                0.94118,                0.97233,                0.65358,                 1.1911,                0.63016,                 1.1541,              0.0006768,              0.0006768,              0.0006768
                     26,                0.90739,                0.51713,                 1.0815,                0.99557,                0.92191,                0.99361,                0.69099,                 1.1296,                0.62815,                 1.1431,             0.00063554,             0.00063554,             0.00063554
                     27,                0.91836,                0.52054,                 1.0841,                0.99353,                0.97059,                0.99237,                0.64718,                 1.2615,                0.55628,                 1.2026,             0.00059429,             0.00059429,             0.00059429
                     28,                0.93163,                0.52404,                 1.1043,                0.97293,                0.90664,                0.96499,                0.66119,                 1.1454,                 0.6687,                 1.1467,             0.00055303,             0.00055303,             0.00055303
                     29,                0.89242,                0.50418,                 1.0778,                0.98216,                0.91176,                0.93002,                0.67507,                 1.0437,                 0.6794,                 1.1285,             0.00051177,             0.00051177,             0.00051177
                     30,                0.84999,                0.49087,                 1.0441,                0.91791,                0.93841,                0.94048,                0.65352,                 1.2025,                0.66404,                 1.1666,             0.00047051,             0.00047051,             0.00047051
                     31,                0.81663,                0.44079,                 1.0379,                0.91028,                0.91176,                0.96467,                0.66548,                 1.2446,                 0.6157,                  1.208,             0.00042925,             0.00042925,             0.00042925
                     32,                0.79387,                0.42236,                0.99964,                0.90909,                0.97059,                0.98107,                  0.682,                 1.2264,                0.56951,                 1.2166,             0.00038799,             0.00038799,             0.00038799
                     33,                0.77538,                0.43472,                 1.0071,                0.97824,                0.95917,                0.99237,                0.68083,                  1.229,                0.53215,                 1.2028,             0.00034674,             0.00034674,             0.00034674
                     34,                0.75601,                0.40395,                 0.9935,                0.97983,                0.96473,                0.99361,                0.67648,                 1.1944,                0.49203,                 1.2033,             0.00030548,             0.00030548,             0.00030548
                     35,                0.73804,                0.40584,                0.98616,                0.98931,                      1,                  0.995,                0.66476,                 1.2376,                 0.4915,                 1.2307,             0.00026422,             0.00026422,             0.00026422
                     36,                0.72926,                0.39213,                0.98263,                0.98619,                      1,                  0.995,                0.70166,                 1.1319,                0.46762,                 1.1802,             0.00022296,             0.00022296,             0.00022296
                     37,                0.71724,                0.37836,                0.98179,                0.98966,                      1,                  0.995,                0.71687,                 1.0837,                0.45792,                 1.1549,              0.0001817,              0.0001817,              0.0001817
